Department,University,City/Cities,Marks required,Labs Avalible,Course Description,Admission dates,shifts,online,offered courses,clean_text
"Islamic Studies, Computer Science & IT, Business & Management, Education, Psychology, Accounting & Finance (BS & UG programs)","Al-Kawthar University, Karachi",Karachi,60,yes,"A private Islamic university integrating modern academic subjects with Islamic values; offers undergraduate programs in computing, business, education, social science, and humanities with practical and ethical focus","July, August","Morning, Evening",sometime,"BS Computer Science, BS Information Technology, BBA, BS English, BS Islamic Studies, BS Psychology, BS Accounting & Finance, B.Ed (Hons)",private islamic university integrate modern academic subject islamic value   offer undergraduate program compute   business   education   social science   humanity practical ethical focus
"Management Sciences, Computer Science, Education, Social Sciences, Business & Commerce",Al-Khair University,Bhimber (Azad Jammu & Kashmir),60,yes,"Private university aiming to develop skilled professionals in management, IT, education and social sciences; emphasizes teaching, research and service with practical skill building",Spring & Fall cycles,"Morning, Evening",sometime,"BS Computer Science, BS IT, BBA, Master in IT, Master in Commerce (MCom), MS/MPhil in related fields",private university aim develop skilled professional management     education social science   emphasize teach   research service practical skill building
"Arabic & Islamic Studies, Education, Sciences, Social Sciences & Humanities, Business & Management, IT, Environmental Sciences, Teacher Education",Allama Iqbal Open University,"Islamabad (main), regional campuses nationwide (e.g., Lahore, Sukkur, Multan)",60,limited,"Asias largest open university focusing on distance education from basic to postgraduate levels, offering flexible study options for working students across diverse disciplines","July, August","Morning, Evening",yes,"Matriculation, Intermediate, BA/BS, MA/MSc, B.Ed, M.Ed, MS, MPhil, PhD in Education, Business, Arts, Sciences and IT",asia s large open university focus distance education basic postgraduate level   offer flexible study option work student diverse discipline
"Architecture & Town Planning, Design, Visual Arts, Heritage Studies, Environmental Studies, Cyber Security & Technology","Aror University of Art, Architecture, Design and Heritage, Sukkur",Sukkur (near Rohri),60,yes,"Public sector arts and design university focused on creative disciplines including architecture, multimedia design, textile & fashion, AI & cyber programs integrating artistic and technical skills",Spring/Fall cycles,Morning,Limited,"Bachelor of Architecture (B.Arch), BS Civil Engineering, BS Environmental Science, BS Visual Arts, BS Fashion Design, BS Textile Design, BS Archaeology, BS AI, BS Cyber Security, BS Multimedia & Gaming",public sector art design university focus creative discipline include architecture   multimedia design   textile    fashion   ai    cyber program integrate artistic technical skill
"Computing & IT, Engineering, Management Sciences, Social Sciences, Life Sciences",University of Sahiwal,Sahiwal,Minimum 45-50% in Intermediate (varies by program),"Yes, labs available in science & IT departments","Public university offering BS, MS programs in computing, management, social sciences, and natural sciences. Focus on modern teaching with labs and research opportunities.","Admissions generally open July-August, January",Morning,No,"BS Computer Science, BS Software Engineering, BS Business Administration, BS Economics, BS Psychology, MS, MPhil",public university offering bs   ms program compute   management   social science   natural science   focus modern teaching lab research opportunity
"Computing & IT, Engineering, Management Sciences, Social Sciences, Life Sciences",University of Sargodha,Sargodha,Minimum 50% marks in Intermediate (varies by program),"Yes, equipped labs in science and IT departments",A well-established university offering a wide range of undergraduate and graduate programs with emphasis on research and applied sciences.,Usually January and July intake,Morning and Evening,Partial online application,"BS Computer Science, BS Chemistry, BS Physics, BS Mathematics, BS Business Administration, BS English, MS, MPhil, PhD",establish university offer wide range undergraduate graduate program emphasis research apply science
"Computing & IT, Engineering, Health Sciences, Management Sciences, Social Sciences","University of Science & Technology (often called UST, refers to several campuses - assuming UST, Islamabad)",Islamabad,Generally 50% minimum in relevant subjects,"Yes, labs for computing, engineering, and sciences","Focused on science, technology, and management education with practical labs and modern curriculum for tech and health sciences.","Varies, usually January and August admissions",Morning,"Yes, online applications available","BS Computer Science, BS Biotechnology, BS Software Engineering, BS Microbiology, MBA, MS, PhD",focus science   technology   management education practical lab modern curriculum tech health science
"Computing & IT, Management Sciences, Social Sciences, Engineering",University of Sialkot,Sialkot,Minimum 50% marks in Intermediate,Labs available in computing and engineering departments,"Private university offering BS and MS degrees in computing, business, and engineering with focus on skill development and industry connections.",Twice a year (Spring and Fall),Morning and Evening,Yes,"BS Computer Science, BS Software Engineering, BS Business Administration, BS Electrical Engineering, MS Programs",private university offering bs ms degree compute   business   engineer focus skill development industry connection
"Computing & IT, Engineering, Arts, Social Sciences, Management Sciences",University of Sindh,"Jamshoro, Sindh",Minimum 45-50% marks in Intermediate (varies),"Yes, labs in sciences and engineering","One of the oldest public universities in Sindh offering diverse programs from sciences, arts, engineering, to social sciences with research facilities.",Admissions open January and July,Morning and Evening,Partial online admissions,"BS Computer Science, BS Electrical Engineering, BS English, BS Economics, BS Chemistry, MS, MPhil, PhD",old public university sindh offer diverse program science   art   engineering   social science research facility
"Computing & IT, Engineering, Management Sciences, Social Sciences",University of South Asia,Lahore,Minimum 50% marks in Intermediate,"Yes, labs for IT and business","Private university offering degrees in computing, business, and social sciences with industry-focused curriculum.",Usually July and January intakes,Morning & Evening,Yes,"BS Computer Science, BS Software Engineering, BBA, MBA, MS",private university offer degree compute   business   social science industry focus curriculum
"Computing & IT, Social Sciences, Management Sciences, Life Sciences","University of Sufism and Modern Sciences, Bhitshah Sindh",Bhitshah,Minimum 45-50% marks,Basic labs available,Public university combining traditional Sufi teachings with modern education in sciences and management.,Usually summer and winter intakes,Morning,No,"BS Computer Science, BS Business Administration, BS Psychology, BS Islamic Studies",public university combine traditional sufi teaching modern education science management
"Computing & IT, Engineering, Social Sciences, Management Sciences",University of Swabi,Swabi,Around 50% marks in Intermediate,Labs in computing and sciences,"Public university with focus on computing, engineering, management, and social sciences education.","Annually, typically July and January",Morning,No,"BS Computer Science, BS Software Engineering, BS Management Sciences, BS Social Sciences",public university focus compute   engineering   management   social science education
"Computing & IT, Engineering, Management Sciences, Social Sciences, Life Sciences",University of Swat,Swat,Minimum 50% marks in Intermediate,Well-equipped labs in science & IT,"Public university offering a wide range of programs including sciences, engineering, management with research emphasis.",Admissions mostly in July and January,Morning,No,"BS Computer Science, BS Management Sciences, BS Environmental Science, MS, MPhil",public university offer wide range program include science   engineering   management research emphasis
"Computing & IT, Engineering, Health Sciences, Management Sciences, Social Sciences",University of the Punjab,Lahore (Main campus and sub-campuses),Minimum 50% marks in relevant subjects,Extensive labs and research facilities,"Largest public university in Pakistan offering wide array of undergraduate, graduate, and doctoral programs in all major fields.",Typically July and January,Morning & Evening,Partial online,"BS Computer Science, BS Engineering, MBBS, MBA, MA, MPhil, PhD",large public university pakistan offer wide array undergraduate   graduate   doctoral program major field
"Computing & IT, Engineering, Management Sciences, Social Sciences",University of Turbat,"Turbat, Balochistan",Minimum 45-50% marks,Labs available in computing and sciences,"Public university offering programs in computer science, management, social sciences, and natural sciences with focus on regional development.",Admissions usually in July and January,Morning,No,"BS Computer Science, BS Business Administration, BS Environmental Sciences, MS programs",public university offering program computer science   management   social science   natural science focus regional development
"Computing & IT, Veterinary Sciences, Agriculture, Life Sciences",University of Veterinary & Animal Sciences,Lahore,Minimum 50% marks in relevant subjects,Well-equipped labs and animal research facilities,"Premier university specializing in veterinary and animal sciences, agriculture, and allied health sciences with research focus.","Twice a year, January and July",Morning,Partial online,"DVM (Doctor of Veterinary Medicine), BS Animal Sciences, BS Dairy Technology, MS, PhD",premier university specialize veterinary animal science   agriculture   ally health science research focus
"Computing & IT, Engineering, Management Sciences, Social Sciences",University of Wah,"Wah Cantt, Punjab",Minimum 50% marks in Intermediate,Fully equipped labs in engineering and computing,"Public university focused on engineering, computing, and management sciences with strong industry linkages.",Annually in January and July,Morning and Evening,Yes,"BS Electrical Engineering, BS Mechanical Engineering, BS Computer Science, BBA, MBA",public university focus engineering   computing   management science strong industry linkage
"Computing & IT, Social Sciences, Management Sciences",Virtual University of Pakistan,Islamabad (Online),Minimum 45-50% marks,"No physical labs, virtual labs available",Pakistans premier online university offering flexible and accessible undergraduate and postgraduate programs via virtual learning.,Rolling admissions throughout the year,Flexible (online),Yes,"BS Computer Science, BS Business Administration, MBA, MA English, MS programs",pakistan s premier online university offering flexible accessible undergraduate postgraduate program virtual learning
"Computing & IT, Social Sciences, Management Sciences",Women University Mardan,"Mardan, Khyber Pakhtunkhwa",Minimum 45% marks in Intermediate,Labs available for science and IT departments,"Public womens university offering diverse programs in sciences, management, social sciences, and computing aimed at empowering women education.",Usually July and January admissions,Morning,No,"BS Computer Science, BS Management Sciences, BS Psychology, MS programs",public woman s university offer diverse program science   management   social science   computing aim empower woman education
"Computing & IT, Social Sciences, Management Sciences, Life Sciences",Women University of Azad Jammu & Kashmir,"Bagh, Azad Jammu & Kashmir",Minimum 45-50% in Intermediate,Labs available for sciences and IT,"Womens university offering programs in social sciences, life sciences, management, and computing to promote higher education for women in the region.",Usually January and July,Morning,No,"BS Computer Science, BS Management Sciences, BS Zoology, MS programs",woman s university offering program social science   life sciences   management   compute promote high education woman region
"Computing & IT, Social Sciences, Management Sciences","Women University, Swabi","Swabi, Khyber Pakhtunkhwa",Minimum 45% marks,Labs available in IT and sciences,"Public university for women with focus on computing, management, and social sciences education to empower female students.",Annually in January and July,Morning,No,"BS Computer Science, BS Business Administration, BS Psychology, MS programs",public university woman focus compute   management   social science education empower female student
"Computing & IT, Health Sciences, Social Sciences",Zia-ud-Din University,Karachi,Minimum 50% in Intermediate,Labs available for health sciences and computing,"Private university offering programs in health sciences, computing, and social sciences with focus on practical and research-based education.",Admissions twice yearly (January and July),Morning and Evening,Yes,"BS Computer Science, BS Health Sciences, BBA, BS Psychology, MS programs",private university offering program health science   computing   social science focus practical research base education
"Computing & IT, Management Sciences, Social Sciences",University of Sahiwal,Sahiwal,Minimum 45-50% marks,Labs available for sciences and IT,"Public university offering undergraduate and graduate programs across computing, management, and social sciences.",Typically July and January,Morning,No,"BS Computer Science, BS Business Administration, MS, MPhil",public university offering undergraduate graduate program compute   management   social science
"Computing & IT, Management Sciences, Social Sciences",University of Sargodha,Sargodha,Minimum 50% marks in Intermediate,Labs available,"Comprehensive public university offering programs in computing, management, social sciences, and natural sciences.",July and January intakes,Morning and Evening,Partial online application,"BS Computer Science, BS Business Administration, MS, MPhil, PhD",comprehensive public university offering program compute   management   social science   natural science
"Computing & IT, Engineering, Social Sciences, Management Sciences",University of Science & Technology,Bannu / Islamabad (depends on campus),Minimum 50% in relevant subjects,"Labs available in computing, engineering, and sciences","Public university focusing on applied sciences, technology, and management programs with lab-based and research-oriented teaching.",Admissions generally January & July,Morning,Partial online,"BS Computer Science, BS Software Engineering, BS Biotechnology, MS, MPhil",public university focus applied science   technology   management program lab base research orient teaching
"Computing & IT, Business, Management, Social Sciences","University of Sialkot, Sialkot",Sialkot,Minimum 50% marks in Intermediate,Labs for IT & engineering programs,"Private university offering undergraduate and graduate programs in computing, business, and management with focus on industry readiness.",Twice yearly  Spring & Fall,Morning & Evening,Yes,"BS Computer Science, BS Software Engineering, BBA, MBA, MS",private university offering undergraduate graduate program compute   business   management focus industry readiness
"Computing & IT, Engineering, Social Sciences, Management Sciences",University of Sindh,"Jamshoro, Sindh",Minimum 45-50% marks,"Labs available in sciences, computing, and engineering","One of the oldest public universities in Sindh offering diverse programs including sciences, arts, engineering, management, and social sciences with strong research facilities.",Admissions in January and July,Morning & Evening,Partial online,"BS Computer Science, BS Electrical Engineering, BS Chemistry, BS Economics, MS, MPhil, PhD",old public university sindh offer diverse program include science   art   engineering   management   social science strong research facility
"Computing & IT, Management Sciences, Social Sciences",University of South Asia,Lahore,Minimum 50% marks in Intermediate,Labs available in computing & business,"Private university focused on computing, business administration, and social sciences with practical-oriented courses.",Admissions July & January,Morning & Evening,Yes,"BS Computer Science, BS Software Engineering, BBA, MBA, MS",private university focus compute   business administration   social science practical orient course
"Computing & IT, Social Sciences, Management Sciences","University of Sufism and Modern Sciences, Bhitshah Sindh",Bhitshah,Minimum 45% marks,Labs available in IT & sciences,Public university combining Sufi studies with modern sciences and management education for undergraduates and postgraduates.,Usually July and January,Morning,No,"BS Computer Science, BS Business Administration, BS Psychology, BS Islamic Studies",public university combine sufi study modern science management education undergraduate postgraduate
"Computing & IT, Engineering, Management Sciences, Social Sciences",University of Swabi,"Swabi, Khyber Pakhtunkhwa",Minimum 50% in Intermediate,Labs available in computing and sciences,"Public university offering programs in computing, engineering, management, and social sciences with emphasis on research and regional development.",January & July,Morning,No,"BS Computer Science, BS Software Engineering, BS Management Sciences, BS Social Sciences, MS, MPhil",public university offer program compute   engineering   management   social science emphasis research regional development
"Computing & IT, Engineering, Management Sciences, Social Sciences, Life Sciences",University of Swat,"Swat, Khyber Pakhtunkhwa",Minimum 50% in relevant subjects,Well-equipped labs for sciences & IT,"Public university offering undergraduate and postgraduate programs in sciences, engineering, computing, and management with research opportunities.",January & July,Morning,No,"BS Computer Science, BS Environmental Sciences, BS Management Sciences, MS, MPhil",public university offering undergraduate postgraduate program science   engineering   computing   management research opportunity
"Computing & IT, Engineering, Health Sciences, Management Sciences, Social Sciences",University of the Punjab,Lahore (Main Campus & Sub-campuses),Minimum 50% in relevant subjects,Extensive labs and research facilities,"Largest public university in Pakistan offering wide range of undergraduate, graduate, and doctoral programs across all major disciplines.",January & July,Morning & Evening,Partial online,"BS Computer Science, BS Engineering, MBBS, MBA, MA, MPhil, PhD",large public university pakistan offer wide range undergraduate   graduate   doctoral program major discipline
"Computing & IT, Engineering, Management Sciences, Social Sciences",University of Turbat,"Turbat, Balochistan",Minimum 45-50% marks,Labs available in computing & sciences,"Public university providing programs in computing, management, social sciences, and natural sciences with focus on regional development.",July & January,Morning,No,"BS Computer Science, BS Business Administration, BS Environmental Science, MS programs",public university provide program compute   management   social science   natural science focus regional development
"Computing & IT, Veterinary Sciences, Agriculture, Life Sciences",University of Veterinary & Animal Sciences,Lahore,Minimum 50% marks in relevant subjects,Well-equipped labs & animal research facilities,"Premier university specializing in veterinary & animal sciences, agriculture, and allied health sciences with research focus.",January & July,Morning,Partial online,"DVM (Doctor of Veterinary Medicine), BS Animal Sciences, BS Dairy Technology, MS, PhD",premier university specialize veterinary    animal science   agriculture   ally health science research focus
"Computing & IT, Engineering, Management Sciences, Social Sciences",University of Wah,"Wah Cantt, Punjab",Minimum 50% marks in Intermediate,Fully equipped labs in engineering and computing,"Public university focused on engineering, computing, and management sciences with strong industry linkages and research opportunities.",January & July,Morning & Evening,Yes,"BS Electrical Engineering, BS Mechanical Engineering, BS Computer Science, BBA, MBA",public university focus engineering   computing   management science strong industry linkage research opportunity
"Computing & IT, Social Sciences, Management Sciences",Virtual University of Pakistan,Islamabad (Online),Minimum 45-50% marks in Intermediate,No physical labs; virtual labs available,Pakistans premier online university providing flexible undergraduate and postgraduate programs via virtual learning with modern IT support.,Rolling admissions throughout the year,Flexible (online),Yes,"BS Computer Science, BS Business Administration, MBA, MA English, MS programs",pakistan s premier online university provide flexible undergraduate postgraduate program virtual learning modern support
"Computing & IT, Social Sciences, Management Sciences, Life Sciences",Women University Mardan,"Mardan, Khyber Pakhtunkhwa",Minimum 45% marks,Labs available in science & IT departments,"Public womens university offering diverse programs in computing, management, social sciences, and life sciences aimed at empowering female students.",July & January,Morning,No,"BS Computer Science, BS Management Sciences, BS Psychology, MS programs",public woman s university offer diverse program compute   management   social science   life science aim empower female student
"Computing & IT, Engineering, Management, Social Sciences, Health",Massachusetts Institute of Technology,"Cambridge, MA",90,Yes,"MIT offers world?leading programs in engineering, computing, sciences, and management with strong lab and research focus.","Jan, Sep","Morning, Evening",Yes,"CS, EE, ME, Aero, Math, Economics, Management",mit offer world lead program engineering   compute   science   management strong lab research focus
"Computing & IT, Engineering, Life Sciences",Stanford University,"Stanford, CA",90,Yes,"Stanford provides interdisciplinary research and innovation across tech, engineering, and biosciences.","Jan, Sep","Morning, Evening",Yes,"CS, AI, Bioengineering, Data Science, Physics",stanford provide interdisciplinary research innovation tech   engineering   bioscience
"Engineering, Computing, Life Sciences",California Institute of Technology,"Pasadena, CA",92,Yes,Caltech emphasizes fundamental research in science and engineering with intense lab engagement.,"Jan, Sep",Morning,Yes,"Physics, Chem, BE, CS, Earth Sciences",caltech emphasize fundamental research science engineering intense lab engagement
"Management, Social Sciences, Computing",Harvard University,"Cambridge, MA",92,Yes,"Harvard offers diverse programs in liberal arts, business, computing, and social sciences with global research.","Jan, Sep","Morning, Evening",Yes,"Business, Law, Psychology, CS",harvard offer diverse program liberal art   business   computing   social science global research
"Computing & IT, Engineering",Carnegie Mellon University,"Pittsburgh, PA",88,Yes,"CMU is noted for computing, engineering, robotics, and IT with strong project labs.","Jan, Sep","Morning, Evening",Yes,"CS, Robotics, Software Eng, AI",cmu note compute   engineering   robotic   strong project lab
"Computing & IT, Engineering, Business","University of California, Berkeley","Berkeley, CA",88,Yes,"UC Berkeley blends rigorous academics with research across tech, sciences, and management.","Jan, Aug","Morning, Evening",Yes,"CS, Data Science, BE, Bio",uc berkeley blend rigorous academic research tech   sciences   management
"Computing & IT, Management, Social Sciences",University of Michigan,"Ann Arbor, MI",85,Yes,"A public research leader offering broad studied across computing, business, and social science.","Jan, Sep","Morning, Evening",Yes,"CS, Business, Psych, Econ",public research leader offer broad study compute   business   social science
"Computing & IT, Engineering, Health",Georgia Institute of Technology,"Atlanta, GA",87,Yes,"Georgia Tech focuses on engineering, computing and applied sciences.","Jan, Sep","Morning, Evening",Yes,"CS, EE, ME, Health Informatics",georgia tech focus engineering   computing apply science
"Computing & IT, Engineering",Purdue University,"West Lafayette, IN",85,Yes,Purdue is known for strong engineering and computing programs with experiential labs.,"Jan, Sep","Morning, Evening",Yes,"CS, BE, ME, CE",purdue know strong engineering computing program experiential lab
"Computing & IT, Health Sciences",University of Washington,"Seattle, WA",85,Yes,"Offers computing, health sciences, life sciences with strong research orientation.","Jan, Sep","Morning, Evening",Yes,"CS, Nursing, Bio, Public Health",offer computing   health science   life science strong research orientation
"Management, Social Sciences",University of Chicago,"Chicago, IL",90,Yes,"Research?oriented programs in economics, management, and social sciences.","Jan, Sep",Morning,Yes,"Econ, MBA, Sociology, Psych",research orient program economics   management   social science
"Computing & IT, Engineering",Cornell University,"Ithaca, NY",90,Yes,"Ivy League with strong engineering and computing, plus interdisciplinary research.","Jan, Aug","Morning, Evening",Yes,"CS, CE, BE, Biotech",ivy league strong engineering computing   plus interdisciplinary research
"Computing & IT, Health, Life Sciences","University of California, San Diego","La Jolla, CA",87,Yes,"Known for strong science, engineering, medical, and computing faculties.","Jan, Sep","Morning, Evening",Yes,"Bio, CS, Health Sciences",know strong science   engineering   medical   compute faculty
"Engineering, Computing",Texas A&M University,"College Station, TX",80,Yes,Large research university with robust engineering and tech programs.,"Jan, Aug","Morning, Evening",Yes,"ENG, CS, CE, AE",large research university robust engineering tech program
"Computing & IT, Management",New York University,"New York, NY",88,Yes,"Offers strong programs in computing, business, arts and social sciences.","Jan, Sep","Morning, Evening",Yes,"CS, Data Sci, MBA, Psych",offer strong program compute   business   art social science
"Computing & IT, Life Sciences","University of California, Los Angeles","Los Angeles, CA",88,Yes,Comprehensive public institution with strong labs and interdisciplinary programs.,"Jan, Sep","Morning, Evening",Yes,"Bio, CS, Engineering",comprehensive public institution strong lab interdisciplinary program
"Engineering, Computing",University of Illinois Urbana?Champaign,"Urbana & Champaign, IL",85,Yes,Top?ranked engineering and computer science with high research output.,"Jan, Sep","Morning, Evening",Yes,"CS, CE, EE, ME",rank engineering computer science high research output
"Computing & IT, Social Sciences",University of Texas at Austin,"Austin, TX",85,Yes,"Broad programs in computing, business, sciences, and arts.","Jan, Aug","Morning, Evening",Yes,"CS, Bus, Psych, Econ",broad program compute   business   science   art
"Management, Computing",University of Pennsylvania,"Philadelphia, PA",90,Yes,"Offers interdisciplinary programs in business, computing and social sciences.","Jan, Aug","Morning, Evening",Yes,"Wharton MBA, CS, Econ",offer interdisciplinary program business   computing social science
"Computing & IT, Engineering",Ohio State University,"Columbus, OH",82,Yes,Large public campus with diverse tech and engineering programs.,"Jan, Sep","Morning, Evening",Yes,"CS, CE, EE",large public campus diverse tech engineering program
"Computing & IT, Engineering","University of California, Davis","Davis, CA",83,Yes,Known for tech programs and sciences with experiential learning.,"Jan, Sep","Morning, Evening",Yes,"CS, Data Sci, Engineering",know tech program science experiential learning
"Computing & IT, Life Sciences",University of WisconsinMadison,"Madison, WI",83,Yes,"Offers computing, biotech, life sciences, and research labs.","Jan, Sep","Morning, Evening",Yes,"Bio, CS, Health",offer computing   biotech   life sciences   research lab
"Computing & IT, Engineering",Virginia Tech,"Blacksburg, VA",82,Yes,Strong engineering and computing in a research?intensive setting.,"Jan, Sep","Morning, Evening",Yes,"BE, CS, ME",strong engineering computing research intensive setting
